repo_name,paths,package_avg,imports_avg
beast-dev/beast-mcmc,2600,4.6823076923076963,7.3346153846153861
transcendent-ai-labs/PlasmaML,41,2.6097560975609753,5.9024390243902438
XCSoar/XCSoar,41,3.3414634146341462,6.1707317073170733
watson-developer-cloud/java-sdk,809,2.3831891223732997,4.9060568603213852
Erudika/scoold,42,11.857142857142856,22.333333333333329
grahamegrieve/fhirserver,42,4.6190476190476186,13.428571428571429
BranchMetrics/react-native-branch,42,4.9999999999999991,7.6428571428571432
wyvernlang/wyvern,298,3.7818791946308719,12.0
sklintyg/rehabstod,298,6.201342281879195,10.560402684563755
awsdocs/aws-doc-sdk-examples,554,4.2400722021660613,8.46570397111913
apache/cassandra,2602,7.1325903151421954,12.273635664873185
bk138/multivnc,43,4.6744186046511631,8.9534883720930232
tutao/tutanota,43,6.441860465116279,13.348837209302328
FroMage/RivieraDEV,43,3.6744186046511631,7.0465116279069759
JMRI/EngineDriver,43,9.9069767441860463,23.302325581395351
xvik/dropwizard-guicey,299,5.2374581939799318,7.414715719063544
luwrain/luwrain,299,3.1739130434782603,3.2341137123745818
Minecolonies/minecolonies,811,9.1085080147965485,12.311960542540074
jenkinsci/plugin-compat-tester,44,5.954545454545455,11.363636363636363
flutter/flutter,44,5.25,7.4090909090909092
zdavatz/AmiKo-Android,44,8.1363636363636367,16.56818181818182
ankidroid/Anki-Android,300,7.1766666666666667,12.563333333333331
Flipkart/foxtrot,300,6.78,10.080000000000002
heisedebaise/ranch,812,4.8559113300492651,6.7450738916256157
apache/spark,1068,5.3689138576779021,10.730337078651687
Whiley/WhileyCompiler,45,6.9111111111111114,16.800000000000004
SRI-CSL/PVS,45,4.4666666666666668,8.5333333333333314
DataVault/datavault,301,4.9435215946843867,8.5415282392026572
pepstock-org/Charba,813,2.6838868388683874,4.7552275522755227
kiegroup/drools,5677,5.0056367799894339,10.087898537960188
lsst-uk/phymatopus,46,4.9347826086956523,7.2391304347826084
libris/librisxl,46,5.5217391304347823,10.978260869565217
jgraph/drawio,46,3.6521739130434785,8.4347826086956523
jolie/jolie,558,3.9086021505376349,9.0555555555555536
ontop/ontop,1582,6.1118836915297114,9.2319848293299618
magenta-aps/mox,47,3.1276595744680851,4.7021276595744679
ARIG-Robotique/robots,303,4.7920792079207919,6.9372937293729393
gravitee-io/graviteeio-access-management,1327,7.27204220045215,10.710625470987191
scoophealth/oscar,4143,5.2623702630943718,10.665942553705053
raydac/mvn-golang,48,6.1249999999999991,11.854166666666666
nextflow-io/nextflow,48,3.5625000000000004,8.5
sergmain/aiai,304,7.0625000000000027,9.5164473684210513
pac4j/pac4j,816,6.3296568627450966,8.9154411764705817
opensourceBIM/BIMserver,4144,3.1047297297297303,5.726110038610031
ngageoint/six-library,49,2.9795918367346936,7.6530612244897958
confluentinc/rest-utils,49,7.612244897959183,15.755102040816325
InseeFr/Eno,49,5.1020408163265305,9.10204081632653
kivy/python-for-android,49,3.6122448979591839,7.6734693877551017
ubtue/ub_tools,49,5.8775510204081636,11.163265306122449
DigitalCampus/oppia-mobile-android,305,9.2655737704918035,14.600000000000003
cedardevs/onestop,50,6.92,10.86
confluentinc/common,50,3.2800000000000002,7.0600000000000014
google/flatbuffers,50,3.4999999999999996,5.2399999999999993
php-coder/mystamps,306,4.5522875816993462,7.5163398692810475
waikato-datamining/adams-base,7474,4.6564088841316558,7.6494514316296565
lamsfoundation/lams,14386,4.1990824412623384,7.6289448074516928
sormuras/bach,51,4.9803921568627443,9.80392156862745
hyee/dbcli,51,4.6078431372549025,7.9803921568627452
okamstudio/godot,51,5.6274509803921564,10.588235294117647
codecentric/spring-boot-admin,307,6.8697068403908794,11.026058631921821
spinnaker/clouddriver,1331,6.422238918106685,9.86326070623592
CSCfi/antero,52,5.6923076923076934,9.9615384615384617
onebeartoe/3D-Modeling,52,4.8269230769230766,8.384615384615385
BelledonneCommunications/linphone,52,2.9423076923076925,6.8076923076923066
google/mug,52,6.1730769230769234,13.192307692307693
